MANUFACTURER,FAMILY,MODEL,IDPICTURE
Brother,MFC-J,MFC-J 4420 DW,56523
Samsung,ProXpress,ProXpress M 4530 ND,54148
Samsung,ProXpress,ProXpress M 4530 NX,54148
Samsung,ProXpress,ProXpress M 4583 FX,52119
Samsung,ProXpress,ProXpress M 4580 FX,52119
HP,OfficeJet,OfficeJet 4630 Series,49524
HP,OfficeJet,OfficeJet 4635,49524
HP,OfficeJet,OfficeJet 4631,49524
HP,OfficeJet,OfficeJet 4634,49524
HP,OfficeJet,OfficeJet 4636,14752
HP,OfficeJet,OfficeJet 4638,14752
HP,OfficeJet,OfficeJet 4632,49524
HP,OfficeJet,OfficeJet 4630,49524
HP,OfficeJet,OfficeJet 4639,49524
Epson,Workforce,WorkForce WF-2760 DWF,62323
Epson,Workforce,WorkForce WF-2661,52136
Epson,Workforce,WorkForce WF-2660 DWF,52136
HP,DeskJet,DeskJet Ink Advantage 5645,77829
HP,OfficeJet,OfficeJet 5740 Series,52142
HP,Envy,Envy 5545 e-All-in-One,56827
HP,Envy,Envy 5548 e-All-in-One,56827
HP,Envy,Envy 5547 e-All-in-One,56827
HP,Envy,Envy 5544 e-All-in-One,56827
HP,OfficeJet,OfficeJet 5700 Series,52142
HP,OfficeJet,OfficeJet 250 Mobile,65353
HP,OfficeJet,OfficeJet 250 Series,65353
HP,OfficeJet,OfficeJet 201,64625
HP,OfficeJet,OfficeJet 202 C,64625
HP,OfficeJet,OfficeJet 200 C,64625
HP,OfficeJet,OfficeJet 200 Series,64625
HP,OfficeJet,OfficeJet 202,64625
HP,OfficeJet,OfficeJet 252 Mobile,65353
HP,Envy,Envy 5540 e-All-in-One,56827
HP,Envy,Envy 7644 e-All-in-One,52168
HP,Envy,Envy 7643 e-All-in-One,52168
HP,Envy,Envy 7642 e-All-in-One,52168
HP,Envy,Envy 5664 e-All-in-One,52342
HP,Envy,Envy 5663 e-All-in-One,52342
HP,Envy,Envy 5661 e-All-in-One,52342
HP,OfficeJet,OfficeJet 5743,52142
HP,OfficeJet,OfficeJet 5741,52142
HP,OfficeJet,OfficeJet 8045,52340
HP,OfficeJet,OfficeJet 8040,52340
HP,OfficeJet,OfficeJet 5746,52142
HP,OfficeJet,OfficeJet 5745,52142
HP,OfficeJet,OfficeJet 5744,52142
HP,OfficeJet,OfficeJet 5742,52142
HP,Envy,Envy 7645 e-All-in-One,52168
HP,Envy,Envy 5665 e-All-in-One,52342
HP,Envy,Envy 5646 e-All-in-One,52341
HP,Envy,Envy 5644 e-All-in-One,52341
HP,Envy,Envy 5643 e-All-in-One,52341
HP,Envy,Envy 5642 e-All-in-One,52341
HP,Envy,Envy 5540 Series,56827
HP,Envy,Envy 5542 e-All-in-One,56827
HP,OfficeJet,OfficeJet 200,64625
HP,Envy,Envy 7600 Series,52168
HP,OfficeJet,OfficeJet 8000 Series,52340
HP,Envy,Envy 5600 Series,52341
HP,OfficeJet,OfficeJet 5740,52142
HP,Envy,Envy 7640 e-All-in-One,52168
HP,Envy,Envy 5660 e-All-in-One,52342
HP,Envy,Envy 5640 e-All-in-One,52341
Lanier,SP C,SP C 261 SFNw,83512
Ricoh,Aficio SP,Aficio SP C 261 SFNw,73651
Ricoh,Aficio SP,Aficio SP C 260 SFNw,73651
Lanier,SP C,SP C 262 DNw,73656
Ricoh,Aficio SP,Aficio SP C 262 DNw,73656
Savin,Other,SP C 262 SFNw,
Ricoh,Aficio SP,Aficio SP C 262 SFNw,73651
Ricoh,Aficio SP,Aficio SP C 252 DNw,51340
Ricoh,SP C,SP C 252 DNw,73653
Lanier,SP C,SP C 252 dn,53730
Ricoh,Aficio SP,Aficio SP C 260 DNw,73656
Ricoh,Aficio SP,Aficio SP C 261 DNw,73656
Lanier,SP C,SP C 250 Series,53730
Lanier,SP C,SP C 260 Series,73655
Ricoh,Aficio SP,Aficio SP C 260 Series,73651
Ricoh,SP C,SP C 252 sf,73652
Ricoh,Aficio SP,Aficio SP C 252 sf,73652
Ricoh,Aficio SP,Aficio SP C 252 dn,73653
Samsung,Xpress,Xpress M 2020,47723
Samsung,Xpress,Xpress M 2071 W,47724
Samsung,Xpress,Xpress M 2070 W,47724
Samsung,Xpress,Xpress M 2070 FW,47724
Samsung,Xpress,Xpress SL-M 2022 W,47723
Samsung,Xpress,Xpress SL-M 2022,47723
Samsung,Xpress,Xpress M 2078 F,54865
Samsung,Xpress,Xpress M 2078 FW,54865
Samsung,Xpress,Xpress M 2078 W,54865
Samsung,Xpress,Xpress M 2078,54865
Samsung,Xpress,Xpress M 2026 W,54682
Samsung,Xpress,Xpress M 2026,54682
Samsung,Xpress,Xpress M 2070 Series,47724
Samsung,Xpress,Xpress M 2078 Series,54865
Samsung,Xpress,Xpress M 2071 Series,47724
Samsung,Xpress,Xpress M 2021,47723
Samsung,Xpress,Xpress M 2070,47724
Samsung,Xpress,Xpress M 2022,47723
Samsung,Xpress,Xpress M 2071 FW,47724
Samsung,Xpress,Xpress M 2071 FH,47724
Samsung,Xpress,Xpress M 2070 F,47724
Samsung,Xpress,Xpress M 2021 W,47723
Samsung,Xpress,Xpress M 2022 W,47723
Samsung,Xpress,Xpress M 2071 HW,47724
Samsung,Xpress,Xpress M 2020 W,47723
Samsung,Xpress,Xpress SL-M 2000 Series,47723
Dell,S,S 5830 dn,
Dell,S,S 2830 dn,
HP,LaserJet Pro,LaserJet Pro MFP M 225 rdn,53164
HP,LaserJet Pro,LaserJet Pro MFP M 225 dn,53163
HP,LaserJet Pro,LaserJet Pro MFP M 201 dw,53165
HP,LaserJet Pro,LaserJet Pro MFP M 201 n,53169
HP,LaserJet Pro,LaserJet Pro MFP M 225 dw,53164
HP,Envy,Envy 4503 e-All-in-One,46527
HP,DeskJet,DeskJet 2545,47300
HP,DeskJet,DeskJet 1517,47300
HP,DeskJet,DeskJet 1513,47300
HP,DeskJet,DeskJet 1512,47300
HP,DeskJet,DeskJet 1511,47300
HP,DeskJet,DeskJet 1514,47300
HP,OfficeJet,OfficeJet 2600 Series,48581
HP,Envy,Envy 4501 e-All-in-One,46527
HP,DeskJet,DeskJet 1510,46525
HP,OfficeJet,OfficeJet 2624,48581
HP,OfficeJet,OfficeJet 2622,48581
HP,Envy,Envy 4509 e-All-in-One,46527
HP,DeskJet,DeskJet 2543,47300
HP,Envy,Envy 4500 e-All-in-One,46527
HP,DeskJet,DeskJet 2544,47300
HP,Envy,Envy 4505 e-All-in-One,46527
HP,DeskJet,DeskJet 2549,47300
HP,Envy,Envy 4506 e-All-in-One,46527
HP,DeskJet,DeskJet 2547,47300
HP,DeskJet,DeskJet 2541,47300
HP,Envy,Envy 4502 e-All-in-One,46527
HP,OfficeJet,OfficeJet 2620,48581
HP,DeskJet,DeskJet 2550,47300
HP,Envy,Envy 4504 e-All-in-One,46527
HP,Envy,Envy 4508 e-All-in-One,46527
HP,Envy,Envy 4507 e-All-in-One,46527
HP,DeskJet,DeskJet 2546,47300
HP,DeskJet,DeskJet 2545 gray,75185
HP,DeskJet,DeskJet 2540,47300
HP,DeskJet,DeskJet 3040,30594
HP,DeskJet,DeskJet 3057 a,45329
HP,DeskJet,DeskJet 3054 a,30594
HP,DeskJet,DeskJet 3055,30594
HP,DeskJet,DeskJet 3056 a,45329
HP,DeskJet,DeskJet 2512,40674
HP,DeskJet,DeskJet 2510,40674
HP,DeskJet,DeskJet 2000,62828
HP,DeskJet,DeskJet 3050 Series,30594
HP,DeskJet,DeskJet 2050 Series,30143
HP,DeskJet,DeskJet 3052,30594
HP,DeskJet,DeskJet 3050 ve,30594
HP,DeskJet,DeskJet 1010,46526
HP,DeskJet,DeskJet 2054 a,30143
HP,DeskJet,DeskJet 3055 a,30594
HP,DeskJet,DeskJet 3050 se,30594
HP,DeskJet,DeskJet 1050 a,30444
HP,DeskJet,DeskJet 2050 a,30143
HP,DeskJet,DeskJet 3052 a,30594
HP,DeskJet,DeskJet 3050 a,30594
HP,DeskJet,DeskJet 3060,30594
HP,DeskJet,DeskJet 2511,40674
HP,DeskJet,DeskJet 3059 a,45329
HP,DeskJet,DeskJet 2514,40674
HP,DeskJet,DeskJet 2050 s,30143
HP,DeskJet,DeskJet 3050,30594
HP,DeskJet,DeskJet 3000,30594
HP,DeskJet,DeskJet 1000,30590
HP,DeskJet,DeskJet 1055,30444
HP,DeskJet,DeskJet 1050,30444
HP,DeskJet,DeskJet 2050,30143
HP,DeskJet,DeskJet 3051,30594
Toshiba,E-Studio,E-Studio 162 D,2141
Toshiba,E-Studio,E-Studio 162,2141
Toshiba,E-Studio,E-Studio 150,91
Toshiba,E-Studio,E-Studio 120,2141
Ricoh,Aficio SP,Aficio SP 3500 n,30377
NRG,SP,SP 3500 Series,55161
NRG,SP,SP 3510 dn,55161
NRG,SP,SP 3510 sf,55162
NRG,SP,SP 3500 sp,55162
NRG,SP,SP 3500 sf,55162
NRG,SP,SP 3500 n,55161
Ricoh,Aficio SP,Aficio SP 3500 sp,52784
Ricoh,Aficio SP,Aficio SP 3500 sf,52784
Ricoh,Aficio SP,Aficio SP 3510 dn,30377
Ricoh,Aficio SP,Aficio SP 3510 sf,52784
Ricoh,Aficio SP,Aficio SP 3500 Series,30377
Canon,Imageclass MF,ImageClass MF 240 Series,51929
Canon,Imageclass MF,ImageClass MF 230 Series,51929
Canon,I-Sensys,I-Sensys MF 240 Series,51929
Canon,I-Sensys,I-Sensys MF 230 Series,51929
Canon,Imageclass MF,ImageClass MF 232 w,51929
Canon,Imageclass MF,ImageClass MF 236 n,51929
Canon,Imageclass MF,ImageClass MF 244 dw,51929
Canon,Imageclass MF,ImageClass MF 247 dw,51929
Canon,Imageclass MF,ImageClass MF 249 dw,51929
Canon,I-Sensys,I-Sensys MF 232 w,51929
Canon,I-Sensys,I-Sensys MF 236 n,51929
Canon,I-Sensys,I-Sensys MF 244 dw,51929
Canon,I-Sensys,I-Sensys MF 247 dw,51929
Canon,I-Sensys,I-Sensys MF 249 dw,51929
Canon,Imageclass D,ImageClass D 570,
Canon,Imageclass,ImageClass LBP-151 dw,62673
Canon,I-Sensys,I-Sensys LBP-151 dw,62673
Canon,I-Sensys,I-Sensys MF 231,51929
Canon,I-Sensys,I-Sensys MF 237 w,51929
Canon,I-Sensys,I-Sensys MF 217 w,51932
Canon,I-Sensys,I-Sensys MF 226 dn,51933
Canon,I-Sensys,I-Sensys MF 229 dw,51934
Canon,I-Sensys,I-Sensys MF 227 dw,51934
Canon,I-Sensys,I-Sensys MF 216 n,51931
Canon,I-Sensys,I-Sensys MF 212 w,51930
Canon,I-Sensys,I-Sensys MF 211,51929
Canon,Imageclass MF,ImageClass MF 220 Series,51933
Canon,Imageclass MF,ImageClass MF 229 dw,51933
Canon,Imageclass MF,ImageClass MF 227 dw,51933
Canon,Imageclass MF,ImageClass MF 226 dn,51933
Canon,Imageclass MF,ImageClass MF 217 w,51932
Canon,Imageclass MF,ImageClass MF 210 Series,51930
Canon,Imageclass MF,ImageClass MF 216 n,51931
Canon,Imageclass MF,ImageClass MF 211,51929
Canon,Imageclass MF,ImageClass MF 212 w,51930
Canon,I-Sensys,I-Sensys MF 210 Series,51932
Canon,I-Sensys,I-Sensys MF 220 Series,51934
Canon,Maxify,Maxify MB 2100 Series,51941
Canon,Maxify,Maxify MB 2120,51941
Canon,Maxify,Maxify MB 2720,51943
Canon,Maxify,Maxify MB 2700 Series,51943
Canon,Maxify,Maxify MB 2750,51943
Canon,Maxify,Maxify MB 2150,51941
Canon,Maxify,Maxify MB 2340,51943
Canon,Maxify,Maxify MB 2040,51941
Canon,Maxify,Maxify MB 2155,51941
Canon,Maxify,Maxify MB 2755,51943
Canon,Maxify,Maxify MB 2300 Series,51943
Canon,Maxify,Maxify MB 2000 Series,51941
Canon,Maxify,Maxify MB 2020,51941
Canon,Maxify,Maxify MB 2320,51943
Canon,Maxify,Maxify MB 2350,51943
Canon,Maxify,Maxify MB 2050,51941
Canon,Maxify,Maxify MB 5120,62545
Canon,Maxify,Maxify MB 5420,62546
Canon,Maxify,Maxify MB 5400 Series,62546
Canon,Maxify,Maxify iB 4150,62547
Canon,Maxify,Maxify MB 5450,62546
Canon,Maxify,Maxify MB 5150,62545
Canon,Maxify,Maxify iB 4100 Series,62547
Canon,Maxify,Maxify iB 4120,62547
Canon,Maxify,Maxify MB 5100 Series,62545
Canon,Maxify,Maxify MB 5070,51944
Canon,Maxify,Maxify iB 4070,51940
Canon,Maxify,Maxify MB 5370,51945
Canon,Maxify,Maxify MB 5340,51945
Canon,Maxify,Maxify MB 5040,51944
Canon,Maxify,Maxify iB 4040,51940
Canon,Maxify,Maxify MB 5155,62545
Canon,Maxify,Maxify MB 5455,62546
Canon,Maxify,Maxify MB 5300 Series,51945
Canon,Maxify,Maxify MB 5000 Series,51944
Canon,Maxify,Maxify iB 4000 Series,51940
Canon,Maxify,Maxify iB 4020,51940
Canon,Maxify,Maxify MB 5020,51944
Canon,Maxify,Maxify MB 5320,51945
Canon,Maxify,Maxify iB 4050,51940
Canon,Maxify,Maxify MB 5350,51945
Canon,Maxify,Maxify MB 5050,51944
HP,Envy,Envy 5530 Series,49825
HP,Envy,Envy 5539 e-All-in-One,49825
HP,Envy,Envy 5535 e-All-in-One,49825
HP,Envy,Envy 5531 e-All-in-One,49825
HP,DeskJet,DeskJet 2542,47300
HP,Envy,Envy 5530 e-All-in-One,49825
HP,Envy,Envy 5532 e-All-in-One,49825
HP,Envy,Envy 5534 e-All-in-One,49825
HP,Envy,Envy 5536 e-All-in-One,49825
Epson,Workforce,WorkForce AL-C 300 DTN,52682
Epson,Workforce,WorkForce AL-C 300 DN,52680
Epson,Workforce,WorkForce AL-C 300 TN,52681
Epson,Workforce,WorkForce AL-C 300 N,52679
Epson,Workforce,WorkForce AL-C 300 Series,52679
HP,Photosmart Premium,PhotoSmart Premium B 210 Series,30433
HP,Photosmart Premium,PhotoSmart Premium B 210 c,30433
HP,Photosmart Premium,PhotoSmart Premium B 010 Series,30433
HP,Photosmart,PhotoSmart Wireless e-All-in-One B 110 Series,27061
HP,Photosmart Premium,PhotoSmart Premium B 010 b,30433
HP,Photosmart,PhotoSmart Wireless e-All-in-One B 110 f,27061
HP,Photosmart,PhotoSmart Wireless e-All-in-One B 110 e,27061
HP,Photosmart,PhotoSmart Wireless e-All-in-One B 110 c,27061
HP,Photosmart,PhotoSmart Wireless e-All-in-One B 110 d,27061
HP,Photosmart Premium,PhotoSmart Premium B 210 b,30433
HP,Photosmart,PhotoSmart Wireless e-All-in-One B 110 a,27061
HP,Photosmart Premium,PhotoSmart Premium B 210,30433
HP,Photosmart Premium,PhotoSmart Premium B 210 a,30433
HP,Photosmart Premium,PhotoSmart Premium B 210 e,30433
HP,Photosmart Premium,PhotoSmart Premium B 010 a,30433
HP,OfficeJet,OfficeJet 7515,54712
HP,Photosmart D,PhotoSmart D 5400 Series,19410
HP,DeskJet D,DeskJet D 5400 Series,
HP,Photosmart D,PhotoSmart D 7500 Series,21089
HP,Photosmart C,PhotoSmart C 5300 Series,23004
HP,Photosmart D,PhotoSmart D 5463,19410
HP,Photosmart C,PhotoSmart C 5388,23004
HP,DeskJet D,DeskJet D 5445,
HP,Photosmart C,PhotoSmart C 5373,23004
HP,Photosmart C,PhotoSmart C 5383,23004
HP,Photosmart D,PhotoSmart D 5460,19410
HP,Photosmart C,PhotoSmart C 5370,23004
HP,Photosmart C,PhotoSmart C 5393,23004
HP,Photosmart D,PhotoSmart D 5468,19410
HP,Photosmart C,PhotoSmart C 6324,19607
HP,Photosmart C,PhotoSmart C 5380,23004
HP,Photosmart C,PhotoSmart C 6383,19607
HP,Photosmart D,PhotoSmart D 7560,21089
HP,Photosmart C,PhotoSmart C 6300 Series,19607
HP,DeskJet D,DeskJet D 5460,
HP,Photosmart C,PhotoSmart C 5390,23004
HP,Photosmart C,PhotoSmart C 5324,23004
HP,Photosmart,PhotoSmart 7520 e All-in-One,37433
HP,Photosmart,PhotoSmart 7515 e-All-in-One,37433
Canon,imagePROGRAF IPF,imagePROGRAF IPF 670 MFP L 24,56923
Canon,imagePROGRAF IPF,imagePROGRAF IPF 770 MFP,53725
Canon,imagePROGRAF IPF,imagePROGRAF IPF 770 Series,53725
Canon,imagePROGRAF IPF,imagePROGRAF IPF 770 L 36,56922
Canon,imagePROGRAF IPF,imagePROGRAF IPF 670 Series,56924
Canon,imagePROGRAF IPF,imagePROGRAF IPF 770 M 40,53725
Canon,imagePROGRAF IPF,imagePROGRAF IPF 770,53725
Canon,imagePROGRAF IPF,imagePROGRAF IPF 670,56924
Epson,Stylus Pro,Stylus Pro 11880 Plus,14404
Epson,Stylus Pro,Stylus Pro 11880 SP,14404
Epson,Stylus Pro,Stylus Pro 11880,14404
Brother,DCP,DCP-9017 CDW,56450
Brother,MFC,MFC-9342 CDW,56479
Brother,MFC,MFC-9332 CDW,56481
Brother,MFC,MFC-9142 CDN,56477
Brother,HL,HL-3172 CDW,52643
Brother,HL,HL-3152 CDW,52642
Brother,HL,HL-3142 CW,52641
Canon,imagePROGRAF IPF,imagePROGRAF IPF 680 Series,50428
Canon,imagePROGRAF IPF,imagePROGRAF IPF 685,50428
Canon,imagePROGRAF IPF,imagePROGRAF IPF 780 Series,50430
Canon,imagePROGRAF IPF,imagePROGRAF IPF 680,50428
Canon,imagePROGRAF IPF,imagePROGRAF IPF 780,50429
Canon,imagePROGRAF IPF,imagePROGRAF IPF 785 MFP,50430
Canon,imagePROGRAF IPF,imagePROGRAF IPF 780 MFP,50429
Canon,imagePROGRAF IPF,imagePROGRAF IPF 785,50430
Canon,imagePROGRAF IPF,imagePROGRAF IPF 785 M 40,50430
Canon,imagePROGRAF IPF,imagePROGRAF IPF 780 M 40,50429
HP,OfficeJet,OfficeJet 6310 Series,9104
HP,OfficeJet,OfficeJet 6307,9104
HP,OfficeJet,OfficeJet 6305,9104
HP,OfficeJet,OfficeJet 6304,9104
HP,OfficeJet,OfficeJet 6313,9104
HP,OfficeJet,OfficeJet 6315,9104
HP,OfficeJet,OfficeJet 6300 Series,9104
HP,OfficeJet,OfficeJet 6310 XI,9104
HP,OfficeJet,OfficeJet 6310,9104
HP,OfficeJet,OfficeJet 6308,9104
HP,OfficeJet,OfficeJet 6301,9104
HP,OfficeJet,OfficeJet 6318,9104
HP,OfficeJet,OfficeJet 6310 V,9104
Canon,Pixma,Pixma MG 6250,52693
Canon,Pixma,Pixma MG 8270,36769
Canon,Pixma,Pixma MG 8200 Series,36769
Canon,Pixma,Pixma MG 6220,36770
Canon,Pixma,Pixma MG 6270,36770
Canon,Pixma,Pixma MG 8240,36769
Canon,Pixma,Pixma MG 6200 Series,36770
Canon,Pixma,Pixma MG 8250,36769
Canon,Pixma,Pixma MG 8220,36769
Canon,Pixma,Pixma MX 897,38640
Canon,Pixma,Pixma MX 890 Series,38640
Canon,Pixma,Pixma MX 895,38640
Canon,Pixma,Pixma MX 715,38641
Canon,Pixma,Pixma MX 710 Series,38641
Canon,Pixma,Pixma MX 714,38641
Canon,Pixma,Pixma MX 892,38660
Canon,Pixma,Pixma MX 886,31497
Canon,Pixma,Pixma MX 885,31497
Canon,Pixma,Pixma MX 883,31398
Canon,Pixma,Pixma MX 882,31398
Canon,Pixma,Pixma MG 5350,48004
Canon,Pixma,Pixma MG 5320,48004
Canon,Pixma,Pixma MG 5340,48004
Canon,Pixma,Pixma MG 5370,48004
Canon,Pixma,Pixma MG 5300 Series,48004
Canon,Pixma,Pixma IP 4950,36193
Canon,Pixma,Pixma IP 4970,36193
Canon,Pixma,Pixma MG 5120,30311
Canon,Pixma,Pixma MG 5220,30310
Canon,Pixma,Pixma IX 6500 Series,31413
Canon,Pixma,Pixma IX 6520,31401
Canon,Pixma,Pixma IX 6540,31401
Canon,Pixma,Pixma IX 6560,31401
Canon,Pixma,Pixma IX 6550,31413
Canon,Pixma,Pixma MG 4120,
Canon,Pixma,Pixma MG 5240,30361
Canon,Pixma,Pixma MG 4170,
Canon,Pixma,Pixma MG 5170,30311
Canon,Pixma,Pixma MG 5270,30310
Canon,Pixma,Pixma IP 4850,30309
Canon,Pixma,Pixma MG 5250,30361
Canon,Pixma,Pixma MG 5150,30361
Canon,Pixma,Pixma MG 5140,30311
Canon,Pixma,Pixma MG 8120 B,30363
Canon,Pixma,Pixma MG 6170,30362
Canon,Pixma,Pixma MG 8170,30363
Canon,Pixma,Pixma MG 8120,30363
Canon,Pixma,Pixma MG 6120,30362
Canon,Pixma,Pixma MG 8150,30363
Canon,Pixma,Pixma MG 6150,30362
Canon,Pixma,Pixma TS 5000 Series,68015
Canon,Pixma,Pixma TS 6000 Series,68017
Canon,Pixma,Pixma TS 5052,78099
Canon,Pixma,Pixma TS 5020,68015
Canon,Pixma,Pixma TS 6020,
Canon,Pixma,Pixma TS 6040,68017
Canon,Pixma,Pixma TS 6050,68017
Canon,Pixma,Pixma TS 6052,72979
Canon,Pixma,Pixma TS 6051,68018
Canon,Pixma,Pixma TS 6050 Series,68017
Canon,Pixma,Pixma TS 5055,78099
Canon,Pixma,Pixma TS 5053,72982
Canon,Pixma,Pixma TS 5051,68016
Canon,Pixma,Pixma TS 5050,78099
Canon,Pixma,Pixma TS 5050 Series,78099
Canon,Pixma,Pixma MG 6860,55934
Canon,Pixma,Pixma MG 6852,56345
Canon,Pixma,Pixma MG 6851,55923
Canon,Pixma,Pixma MG 6850 Series,55923
Canon,Pixma,Pixma MG 6822,56345
Canon,Pixma,Pixma MG 6821,55923
Canon,Pixma,Pixma MG 6820,55934
Canon,Pixma,Pixma MG 6800 Series,55934
Canon,Pixma,Pixma MG 5760,55922
Canon,Pixma,Pixma MG 5753,55935
Canon,Pixma,Pixma MG 5752,56344
Canon,Pixma,Pixma MG 5750 Series,55922
Canon,Pixma,Pixma MG 5722,56344
Canon,Pixma,Pixma MG 5721,55935
Canon,Pixma,Pixma MG 5720,55922
Canon,Pixma,Pixma MG 5700 Series,55935
Canon,Pixma,Pixma MG 5751,55935
Canon,Pixma,Pixma MG 5750,55922
Canon,Pixma,Pixma MG 6853,55923
Canon,Pixma,Pixma MG 6850,55934
Epson,Workforce,WorkForce WF-100 W,53053
HP,OfficeJet,OfficeJet 4622,39226
HP,DeskJet,DeskJet 3521,40675
HP,OfficeJet,OfficeJet 4620,39226
HP,OfficeJet,OfficeJet 4610,39226
HP,DeskJet,DeskJet 3524,48580
HP,DeskJet,DeskJet 3520 e-All-in-One,40675
HP,DeskJet,DeskJet 3522,40675
HP,Photosmart Premium,PhotoSmart Premium B 410 Series,30433
HP,Photosmart B,PhotoSmart B 8550,30848
HP,Photosmart Premium,PhotoSmart Premium B 410 c,30433
HP,Photosmart Premium,PhotoSmart Premium B 410 a,30433
HP,Photosmart Premium,PhotoSmart Premium Touchsmart Web,28615
HP,Photosmart,PhotoSmart eStation,34221
HP,Photosmart,PhotoSmart 5510 e-All-in-One,36784
HP,Photosmart,PhotoSmart 6500 Series,37390
HP,Photosmart,PhotoSmart 6520 e All-in-One,37390
HP,Photosmart,PhotoSmart 6512 e-All-in-One,37390
HP,Photosmart,PhotoSmart Plus B 200 Series,26485
HP,Photosmart,PhotoSmart 6515 e-All-in-One,37390
HP,Photosmart,PhotoSmart 5514 e-All-in-One,36784
HP,Photosmart,PhotoSmart 6510 e-All-in-One,37390
HP,Photosmart,PhotoSmart 5515 e-All-in-One,38086
HP,Photosmart,PhotoSmart 5512 e-All-in-One,36784
HP,Photosmart,PhotoSmart Plus B 209 c,26485
HP,Photosmart,PhotoSmart Plus B 209 b,26485
HP,Photosmart,PhotoSmart Plus B 209 a,26485
HP,Photosmart,PhotoSmart Plus,26485
HP,Photosmart,PhotoSmart 6525 e All-in-One,37390
HP,Photosmart,PhotoSmart Wireless B 100 Series,27061
HP,Photosmart,PhotoSmart Wireless B 109 g,27061
HP,Photosmart,PhotoSmart Wireless B 109 b,27061
HP,Photosmart,PhotoSmart Wireless B 109 f,27061
HP,Photosmart,PhotoSmart Wireless B 109 e,27061
HP,Photosmart,PhotoSmart Wireless B 109 d,27061
HP,Photosmart,PhotoSmart Wireless B 109 c,27061
HP,Photosmart,PhotoSmart Wireless B 109 a,27061
HP,Photosmart,PhotoSmart Wireless B 109 n,27061
HP,Photosmart B,PhotoSmart B 109 a,27061
HP,Photosmart,PhotoSmart 5520 e All-in-One,36784
HP,Photosmart,PhotoSmart 5525 e All-in-One,36784
HP,Photosmart,PhotoSmart 5522 e All-in-One,36784
HP,Photosmart,PhotoSmart 5524 e All-in-One,36784
Canon,Pixma,Pixma MG 7160,46439
Canon,Pixma,Pixma MG 7150,46439
Canon,Pixma,Pixma MG 6300 Series,41671
Canon,Pixma,Pixma MG 6310,41671
Canon,Pixma,Pixma MG 7170,48141
Canon,Pixma,Pixma MG 7140,46439
Canon,Pixma,Pixma MG 6350,41671
Canon,Pixma,Pixma MG 7100 Series,48141
Canon,Pixma,Pixma MG 6320,41671
Canon,Pixma,Pixma MG 6340,41671
Canon,Pixma,Pixma MG 7120,46439
HP,Color LaserJet,Color LaserJet Enterprise CP 5525 Series,30553
HP,Color LaserJet,Color LaserJet Enterprise M 750 n,49480
HP,Color LaserJet,Color LaserJet Enterprise CP 5520 Series,30553
HP,Color LaserJet,Color LaserJet Enterprise M 750 Series,49480
HP,Color LaserJet,Color LaserJet Enterprise CP 5500 Series,30553
HP,Color LaserJet,Color LaserJet Enterprise M 750 dn,49480
HP,Color LaserJet,Color LaserJet Enterprise M 750 xh,49481
HP,Color LaserJet,Color LaserJet Enterprise CP 5525 XH,30553
HP,Color LaserJet,Color LaserJet Enterprise CP 5525 DN,30553
HP,Color LaserJet,Color LaserJet Enterprise CP 5525 N,30553
HP,Color LaserJet,Color LaserJet Enterprise CM 4540 Series,30770
HP,Color LaserJet,Color LaserJet Enterprise CM 4540 fskm MFP,30770
HP,Color LaserJet,Color LaserJet Enterprise CM 4540 f MFP,30770
HP,Color LaserJet,Color LaserJet Enterprise CM 4500 Series,30770
HP,Color LaserJet,Color LaserJet Enterprise CM 4540 MFP,30770
Dell,H,H 825,56756
Dell,H,H 820 Series,56756
Dell,H,H 825 cdw,56756
Dell,S,S 2825 cdn,56754
Epson,LQ,LQ 570 e,44203
Epson,LQ,LQ 570 Series,44203
Epson,LQ,LQ 580,44204
Epson,LQ,LQ 950,
Epson,LQ,LQ 870,507
Epson,LQ,LQ 570 Plus,44203
Epson,LQ,LQ 570,44203
Epson,FX,FX 850,
Commodore,Other,PET 4000 Series,
Anzac,Other,1000 Series,
SEL,Other,ITT 3351 Series,
Courier,Other,3336 Series,
Wincor-Nixdorf,Other,2504 Series,
Courier,Other,3351 Series,
SEL,Other,ITT 3336 Series,
Epson,Actionprinter,Actionprinter 5000 Series,
Sharp,BE,BE 2300 Series,
Epson,Other,5000 Series,
Casio,Other,FX 9000 Series,
Four Phase,Other,PC 4200 Series,
Commodore,VC,VC 4500 Series,
SIF,Other,210 Series,
Sharp,CE,CE 330 Series,
Epson,LQ,LQ 850 Series,
Hengstler,Other,8000 Series,
Hengstler,Other,Personal 8000 Series,
Anzac,Other,1100 Series,
Welco,Other,DMP 1300,
Univac,Other,489,
Univac,Other,449,
Triumph-Adler,DMP,DMP 25,
Wang,PM,PM 010,
Wang,Other,PJ 3444,
Unisys,Other,TG 288,
Wang,Other,75 PC-PM 09 T,
Unisys,AP,AP 1314,
Wang,Other,2245,
Tredia,Other,DX 80,
Tredia,Other,DX 180,
Tredia,Other,DX 120,
Zenith,Other,Zdrx 80,
Zenith,Other,Zdlx 80,
Zenith,Other,Zdfx 80,
Zenith,Other,Z 89 MX 80,
Zenith,Other,MX 80,
Uchida Yoko,Other,CPL 10,
W.A.M.,Other,4300,
W.A.M.,Other,4200,
W.A.M.,Other,3810,
Vobis,Other,Highscreen MP 600,
